item_id,name,width_cm,depth_cm,height_cm,mass_kg,priority,expiry_date,usage_limit,preferred_zone
000001,Seed_Packets,12.9,19.3,26.0,2.1,73,N/A,10,Greenhouse
000002,First_Aid_Kit,22.9,29.1,17.2,5.2,75,N/A,54,Crew_Quarters
000003,Fire_Extinguisher,48.9,33.2,40.7,33.04,85,N/A,2366,Engineering_Bay
000004,Solar_Panel,40.7,69.9,3.8,13.3,95,N/A,3970,Power_Bay
000005,EV_Suit_Battery,18.1,44.1,48.2,19.24,33,N/A,817,Airlock
000006,Water_Bottle,42.0,25.4,33.7,17.98,39,N/A,463,Crew_Quarters
000007,Laptop,37.4,20.5,43.4,16.64,78,N/A,166,Crew_Quarters
000008,Oxygen_Cylinder,24.8,22.2,72.7,22.2,19,N/A,4232,Airlock
000009,First_Aid_Kit,29.3,15.8,13.7,7.8,49,N/A,42,Crew_Quarters
000010,First_Aid_Kit,10.9,14.9,14.2,9.3,5,N/A,70,Crew_Quarters
000011,Cooling_System,39.0,11.0,29.4,6.31,57,N/A,2288,Engineering_Bay
000012,Oxygen_Cylinder,16.7,20.7,81.2,16.7,67,N/A,448,Airlock
000013,Tool_Kit,27.8,26.6,17.7,8.0,81,N/A,8,Maintenance_Bay
000014,Water_Purification_Unit,17.0,10.7,48.3,4.39,6,N/A,31,Life_Support
000015,Asteroid_Sample_Container,15.7,28.4,20.9,2.1,33,N/A,4704,Lab
000016,Battery_Pack,48.9,45.9,36.4,40.85,92,N/A,918,External_Storage
000017,Navigation_Module,27.5,32.0,39.1,17.2,29,N/A,3143,Cockpit
000018,Communication_Device,19.0,15.7,27.0,4.03,31,N/A,4328,Command_Center
000019,Oxygen_Cylinder,28.8,24.3,75.5,37.5,52,N/A,3180,Crew_Quarters
000020,Medical_Scanner,39.8,25.2,17.4,8.73,41,2027-03-18,43,Medical_Bay
000021,Battery_Pack,41.6,43.2,49.4,44.39,74,N/A,162,Power_Bay
000022,Thruster_Fuel,27.5,40.6,30.1,16.8,39,N/A,3213,Storage_Bay
000023,Gyroscope_Module,31.9,28.8,42.0,19.29,55,N/A,2587,Engineering_Bay
000024,Emergency_Oxygen_Mask,37.8,17.9,48.5,16.41,86,N/A,2848,Crew_Quarters
000025,First_Aid_Kit,15.9,15.4,19.4,2.8,79,N/A,72,Medical_Bay
000026,Asteroid_Sample_Container,10.9,24.5,11.5,4.2,59,N/A,4797,Storage_Bay
000027,Battery_Pack,28.2,16.9,11.4,2.72,12,N/A,135,Power_Bay
000028,Battery_Pack,15.8,28.0,18.3,4.05,96,N/A,410,Power_Bay
000029,Lab_Microscope,23.7,38.5,37.1,16.93,20,N/A,4724,Lab
000030,Space_Suit,28.3,39.8,32.6,18.36,86,N/A,2290,Airlock
000031,LED_Work_Light,36.5,10.3,11.4,2.14,90,N/A,4809,Maintenance_Bay
000032,Tool_Kit,24.8,20.5,16.1,9.0,54,N/A,78,Maintenance_Bay
000033,Seed_Packets,12.8,19.7,25.9,4.5,32,N/A,79,Greenhouse
000034,Antibiotic_Supply,13.6,28.9,10.8,2.12,65,2025-08-24,4353,Medical_Bay
000035,Food_Packet,11.7,23.1,16.5,5.9,17,2025-11-22,63,Storage_Bay
000036,Fire_Extinguisher,49.3,39.0,11.0,10.57,64,N/A,582,Engineering_Bay
